f1,f2
0.5229,1.9124
0.4654,2.2063
0.6279,1.6156
0.6697,1.4931
0.5673,1.7627
0.7835,1.2897
0.5096,1.9697
0.6535,1.5695
0.5259,1.9387
0.6633,1.5226
0.5194,1.9252
0.5664,1.7657
0.5354,1.8679
0.5453,1.8404
0.7725,1.2945
0.5342,1.8720
0.5023,2.0467
0.5899,1.6952
0.7042,1.4200
0.4950,2.0585
0.5977,1.6889
0.4810,2.0788
0.6148,1.6266
0.7846,1.2879
0.7366,1.3673
0.6150,1.6414
0.7110,1.4102
0.6518,1.5469
0.5886,1.7046
0.7267,1.4098
0.5883,1.7027
0.5356,1.8824
0.4822,2.0740
0.6197,1.6148
0.6866,1.4575
0.5262,1.9381
0.6418,1.5582
0.8318,1.2023
0.5287,1.8913
0.7360,1.3588
0.5841,1.7119
0.5955,1.7104
0.7571,1.3208
0.5644,1.7719
0.5735,1.7614
0.4688,2.1499
0.6724,1.5020
0.5518,1.8243
0.8113,1.2492
0.7753,1.3035
0.7277,1.3758
0.6733,1.5353
0.7395,1.3523
0.4881,2.0817
0.5941,1.6986
0.8071,1.2407
0.7284,1.3998
0.5575,1.7963
0.5857,1.7078
0.5559,1.8534
0.5221,2.0015
0.6074,1.6856
0.8039,1.2740
0.4790,2.0876
0.6817,1.4669
0.6622,1.5102
0.7493,1.3417
0.6589,1.5365
0.6589,1.5177
0.7198,1.3893
0.6832,1.4741
0.5847,1.7293
0.6997,1.4291
0.5630,1.7762
0.6139,1.6290
0.7241,1.3844
0.4765,2.0987
0.4689,2.1326
0.5636,1.8233
0.7937,1.2742
0.5296,1.9038
0.6290,1.5897
0.6215,1.6091
0.4604,2.1741
0.6290,1.5908
0.5985,1.6709
0.4641,2.1547
0.7373,1.3807
0.4359,2.3192
0.4918,2.0579
0.4741,2.1090
0.5218,1.9549
0.7450,1.3563
0.4924,2.0323
0.4728,2.1678
0.5793,1.7263
0.7241,1.3911
0.5541,1.8409
0.6472,1.5790
0.7581,1.3375
0.6515,1.5350
0.5231,1.9258
0.6598,1.5159
0.6489,1.5424
0.7353,1.3671
0.6128,1.6375
0.5089,1.9657
0.6386,1.5658
0.5026,1.9897
0.7696,1.3132
0.5891,1.7196
0.6683,1.4963
0.5985,1.6963
0.7573,1.3261
0.5623,1.7951
0.6373,1.5954
0.5454,1.8334
0.5474,1.8268
0.5130,1.9834
0.5382,1.8579
0.6699,1.4974
0.7137,1.4119
0.7033,1.4566
0.5725,1.7497
0.5699,1.7634
0.5403,1.8565
0.4864,2.0761
0.5810,1.7213
0.5145,1.9663
0.6362,1.5861
0.6624,1.5203
0.7261,1.3793
0.5441,1.8745
0.4857,2.0587
0.7406,1.3560
0.4904,2.0795
0.6871,1.4588
0.7165,1.4372
0.5952,1.6801
0.6789,1.4763
0.5021,2.0101
0.6133,1.6582
0.6313,1.6032
0.7887,1.2694
0.7364,1.3580
0.7561,1.3434
0.6713,1.4897
0.6008,1.6807
0.6220,1.6077
0.7083,1.4118
0.6208,1.6512
0.5523,1.8105
0.4905,2.0482
0.6943,1.4554
0.5977,1.6731
0.6606,1.5247
0.6058,1.6624
0.5862,1.7233
0.6915,1.4462
0.6396,1.5944
0.6205,1.6117
0.5604,1.7844
0.5526,1.8612
0.6599,1.5417
0.7369,1.3733
0.7773,1.2967
0.5114,1.9946
0.6562,1.5487
0.5334,1.9026
0.6769,1.4772
0.5937,1.7124
0.4950,2.0297
0.7739,1.3206
0.5395,1.8650
0.5733,1.7664
0.5809,1.7393
0.5723,1.7511
0.6761,1.4790
0.5062,1.9904
0.5614,1.7814
0.7891,1.2924
0.6200,1.6130
0.7124,1.4402
0.7535,1.3443
0.7790,1.2854
0.7647,1.3077
0.6228,1.6309
0.6556,1.5486
0.5092,1.9844
0.5658,1.7674
0.5507,1.8260
0.6508,1.5374
0.6575,1.5275
0.4925,2.0306
0.5495,1.8669
0.6418,1.5689
0.5574,1.7968
0.5585,1.8076
0.4987,2.0050
0.6601,1.5280
0.5344,1.8942
0.7529,1.3368
0.5126,1.9510
0.5180,1.9305
0.6348,1.6167
0.6103,1.6399
0.6986,1.4391
0.5681,1.7603
0.7683,1.3172
0.4912,2.0356
0.5575,1.8040
0.6011,1.6782
0.5720,1.7628
0.6073,1.6467
0.7929,1.2611
0.5572,1.7947
0.6592,1.5191
0.5487,1.8227
0.6755,1.4804
0.5044,2.0286
0.7464,1.3505
0.5060,2.0091
0.7652,1.3246
0.6518,1.5445
0.7054,1.4367
0.7201,1.4118
0.7806,1.2920
0.5273,1.8963
0.6959,1.4553
0.6776,1.4817
0.5365,1.8866
0.7377,1.3556
0.6793,1.5118
0.4922,2.0847
0.5423,1.8503
0.5821,1.7463
0.5644,1.7750
0.6734,1.5034
0.5585,1.8126
0.5738,1.7426
0.7081,1.4198
0.7824,1.2887
0.5988,1.7029
0.6576,1.5479
0.4585,2.1812
0.5403,1.8697
0.7265,1.3765
0.4750,2.1431
0.4779,2.1392
0.6014,1.6629
0.7582,1.3440
0.6010,1.6638
0.5847,1.7226
0.7020,1.4244
0.6723,1.4874
0.7278,1.3740
0.5281,1.8936
0.5253,1.9692
0.5362,1.8697
0.7045,1.4303
0.5494,1.8445
0.5148,1.9424
0.5119,1.9824
0.5660,1.7669
0.5280,1.8984
0.6487,1.5557
0.5800,1.7241
0.7450,1.3566
0.7544,1.3353
0.6073,1.6665
0.5361,1.8855
0.7678,1.3287
0.6387,1.5728
0.6245,1.6062
0.4924,2.0756
0.6092,1.6549
0.7502,1.3362
0.7058,1.4442
0.6847,1.4721
0.7388,1.3722
0.5197,1.9240
0.6671,1.4990
0.4208,2.3766
0.5560,1.8081
0.4856,2.0592
0.7557,1.3510
0.7504,1.3457
0.6475,1.5548
0.7242,1.4018
0.6903,1.4680
0.8113,1.2326
0.7985,1.2557
0.6633,1.5300
0.6514,1.5507
0.5593,1.7881
0.5595,1.7873
0.5631,1.7760
0.6516,1.5347
0.6983,1.4620
0.6042,1.6760
0.4538,2.2036
0.6626,1.5091
0.6763,1.4899
0.6618,1.5154
0.6884,1.4806
0.6280,1.5925
0.6812,1.4680
0.5213,1.9183
0.7466,1.3395
0.6726,1.4882
0.6627,1.5090
0.5810,1.7212
0.6993,1.4563
0.5773,1.7391
0.7387,1.3613
0.5677,1.7991
0.5741,1.7418
0.6447,1.5816
0.5248,1.9055
0.4819,2.0753
0.5834,1.7142
0.5701,1.7951
0.6978,1.4330
0.7827,1.3129
0.6247,1.6006
0.4936,2.0258
0.5533,1.8157
0.5203,1.9220
0.5867,1.7044
0.5927,1.6957
0.6488,1.5414
0.7890,1.2775
0.5415,1.8488
0.5450,1.8350
0.5785,1.7500
0.4951,2.0242
0.5235,1.9284
0.4269,2.3662
0.7163,1.4264
0.5324,1.9546
0.5898,1.6955
0.5956,1.6789
0.6969,1.4694
0.5534,1.8154
0.5712,1.7598
0.6454,1.5825
0.4264,2.3775
0.5861,1.7168
0.5543,1.8127
0.7518,1.3490
0.5157,2.0043
0.5165,1.9360
0.5561,1.7981
0.7346,1.3812
0.6272,1.5945
0.6597,1.5292
0.7340,1.3818
0.6244,1.6015
0.5190,1.9267
0.5418,1.8458
0.5328,1.9093
0.5432,1.8409
0.5523,1.8348
0.4653,2.1493
0.4673,2.1870
0.6746,1.4825
0.6139,1.6297
0.4910,2.0564
0.6891,1.4512
0.5182,1.9783
0.5100,1.9607
0.7301,1.3698
0.5041,1.9837
0.4752,2.1372
0.5895,1.6965
0.5630,1.7770
0.5528,1.8118
0.7734,1.2999
0.6426,1.5562
0.4807,2.0909
0.7700,1.3043
0.7637,1.3095
0.6025,1.6804
0.6307,1.5854
0.6419,1.5579
0.7678,1.3164
0.6604,1.5143
0.7538,1.3266
0.6594,1.5247
0.6197,1.6137
0.5947,1.6947
0.6052,1.6523
0.5752,1.7674
0.7548,1.3249
0.5503,1.8237
0.6867,1.4562
0.7507,1.3407
0.6729,1.4861
0.6043,1.6872
0.7272,1.3751
0.4744,2.1226
0.6812,1.4877
0.5756,1.7593
0.7544,1.3270
0.3980,2.5232
0.5296,1.9117
0.6435,1.5590
0.5008,1.9986
0.5673,1.7672
0.7032,1.4333
0.6799,1.4832
0.6311,1.5849
0.5860,1.7065
0.5360,1.9123
0.5881,1.7355
0.6173,1.6244
0.5374,1.8609
0.6285,1.5911
0.6375,1.5722
0.6075,1.6469
0.6555,1.5489
0.5741,1.7509
0.6721,1.4898
0.6637,1.5067
0.5885,1.6992
0.6487,1.5416
0.5132,1.9632
0.6491,1.5545
0.6074,1.6689
0.5278,1.9045
0.5016,2.0392
0.5473,1.8303
0.6575,1.5265
