x1,x2
0.1000,0.1072
0.5140,0.0000
0.6124,0.0000
0.5595,0.1030
0.6163,0.1991
0.1821,0.0037
0.6606,0.0000
0.3544,0.0000
0.7837,0.3195
0.7781,0.0209
0.5809,0.1015
0.6545,0.0000
0.9830,0.1173
0.8938,0.0218
0.6417,0.2168
0.2072,0.0000
0.7339,0.0000
1.0000,0.0485
0.1212,0.0549
0.3860,0.0310
0.4745,0.0000
0.8281,0.0000
0.6958,0.0000
0.7149,0.0589
0.8947,0.0335
0.5605,0.0554
0.7929,0.0000
0.2594,0.0000
0.3783,0.0000
0.1000,0.0000
0.8992,0.0000
0.8306,0.0000
0.4397,0.0000
0.3396,0.1027
0.7315,0.0667
0.1000,0.0000
0.4705,0.0820
0.3119,0.1065
0.4606,0.0240
0.7235,0.0000
0.4495,0.2779
0.8289,0.0205
0.3448,0.1167
0.3542,0.2016
0.8008,0.0439
0.3355,0.0292
0.9338,0.0321
